"","id","interviewer","ORDER","TTO_BLOCK","DCE_BLOCK","STATE_ID","value","reversed","state_A","state_B","method","flagged","timing","wt","d_mo2","d_mo3","d_mo4","d_mo5","d_sc2","d_sc3","d_sc4","d_sc5","d_ua2","d_ua3","d_ua4","d_ua5","d_pd2","d_pd3","d_pd4","d_pd5","d_ad2","d_ad3","d_ad4","d_ad5","n45"
"179",2020203,22,9,10,11,75,2,0,11111,35311,"TTO",0,2020,0.616946395561154,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"181",2020203,22,11,10,11,86,2,0,11111,55555,"TTO",0,2020,0.616946395561154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"182",2020203,22,12,10,11,77,2,0,11111,24445,"TTO",0,2020,0.616946395561154,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"183",2020203,22,13,10,11,73,0.1,0,11111,11122,"TTO",0,2020,0.616946395561154,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"184",2020203,22,14,10,11,76,2,0,11111,43555,"TTO",0,2020,0.616946395561154,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"185",2020203,22,15,10,11,74,2,0,11111,52335,"TTO",0,2020,0.616946395561154,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"186",2020203,22,16,10,11,79,2,0,11111,34232,"TTO",0,2020,0.616946395561154,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"187",2020203,22,17,10,11,78,2,0,11111,13224,"TTO",0,2020,0.616946395561154,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"195",2020019,22,8,10,12,74,0.2,0,11111,52335,"TTO",0,2020,0.596294349490263,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"196",2020019,22,9,10,12,86,0.5,0,11111,55555,"TTO",0,2020,0.596294349490263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"197",2020019,22,10,10,12,82,0,0,11111,12111,"TTO",0,2020,0.596294349490263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",2020019,22,11,10,12,75,0.1,0,11111,35311,"TTO",0,2020,0.596294349490263,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"200",2020019,22,13,10,12,79,0.2,0,11111,34232,"TTO",0,2020,0.596294349490263,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"201",2020019,22,14,10,12,78,0.4,0,11111,13224,"TTO",0,2020,0.596294349490263,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"202",2020019,22,15,10,12,73,0,0,11111,11122,"TTO",0,2020,0.596294349490263,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"204",2020019,22,17,10,12,76,0.5,0,11111,43555,"TTO",0,2020,0.596294349490263,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
